UF;PIB2010;PIB2011;PIB2012;PIB2013;PIB2014;POP2010;POP2011;POP2012;POP2013;POP2014
AC;8.342.356;8.949.434;10.137.925;11.473.930;13.458.698;732.793;746.386;758.786;776.463;790.101
AL;27.133.038;31.657.321;34.650.397;37.282.529;40.974.994;3.120.922;3.143.384;3.165.472;3.300.935;3.321.730
AP;8.237.795;9.409.228;11.130.868;12.763.486;13.400.284;668.689;684.309;698.602;734.996;750.912
AM;60.877.123;70.734.401;72.242.701;83.051.233;86.668.644;3.480.937;3.538.387;3.590.985;3.807.921;3.873.743
BA;154.419.547;166.602.817;182.572.530;204.844.274;223.929.966;14.021.432;14.097.534;14.175.341;15.044.137;15.126.371
CE;79.336.299;89.695.828;96.973.753;109.036.556;126.054.472;8.448.055;8.530.155;8.606.005;8.778.576;8.842.791
DF;144.174.102;154.568.954;164.101.336;175.906.726;197.432.059;2.562.963;2.609.998;2.648.532;2.789.761;2.852.372
ES;85.310.285;105.976.222;116.850.581;117.274.347;128.783.781;3.512.672;3.547.055;3.578.067;3.839.366;3.885.049
GO;106.770.109;121.296.721;138.757.825;151.300.175;165.015.318;6.004.045;6.080.716;6.154.996;6.434.048;6.523.222
MA;46.309.633;52.143.535;60.490.109;67.694.845;76.842.028;6.569.683;6.645.761;6.714.314;6.794.301;6.850.884
MT;56.600.955;69.153.957;79.665.691;89.212.919;101.234.520;3.033.991;3.075.936;3.115.336;3.182.113;3.224.357
MS;47.270.656;55.133.162;62.013.201;69.203.201;78.950.133;2.449.341;2.477.542;2.505.088;2.587.269;2.619.657
MG;351.123.418;400.124.687;442.282.830;488.004.903;516.633.984;19.595.309;19.728.701;19.855.332;20.593.356;20.734.097
PA;82.684.518;98.710.736;107.080.881;121.224.847;124.584.945;7.603.239;7.688.593;7.822.205;7.999.729;8.104.880
PB;33.522.492;37.109.137;42.488.349;46.377.299;52.936.483;3.766.834;3.791.315;3.815.171;3.914.421;3.943.885
PR;225.205.255;257.122.269;285.620.202;333.481.152;348.084.191;10.439.601;10.512.349;10.577.755;10.997.465;11.081.692
PE;97.189.760;110.161.559;127.989.043;141.150.252;155.142.648;8.796.032;8.864.906;8.931.028;9.208.550;9.277.727
PI;22.269.149;25.941.362;28.637.685;31.283.593;37.723.497;3.119.015;3.140.328;3.160.748;3.184.166;3.194.718
RJ;449.858.101;512.767.905;574.884.973;628.226.069;671.076.844;15.993.583;16.112.678;16.231.365;16.369.179;16.461.173
RN;36.184.502;40.992.925;46.412.208;51.518.457;54.022.584;3.168.133;3.198.657;3.228.198;3.373.959;3.408.510
RS;241.249.164;265.056.416;287.587.019;332.292.726;357.816.424;10.695.532;10.733.030;10.770.603;11.164.043;11.207.274
RO;23.907.887;27.574.714;30.112.720;31.121.413;34.030.982;1.560.501;1.576.455;1.590.011;1.728.214;1.748.531
RR;6.639.150;7.303.719;7.711.467;9.010.725;9.744.122;451.227;460.165;469.524;488.072;496.936
SC;153.726.007;174.068.322;191.794.652;214.512.242;242.553.371;6.249.682;6.317.054;6.383.286;6.634.254;6.727.148
SP;1.294.695.988;1.436.672.709;1.559.033.444;1.715.238.417;1.858.196.055;41.252.160;41.587.182;41.901.219;43.663.669;44.035.304
SE;26.404.893;29.108.272;32.853.181;35.335.986;37.472.432;2.068.031;2.089.819;2.110.867;2.195.662;2.219.574
TO;16.404.816;18.345.688;20.684.430;23.796.656;26.189.323;1.383.453;1.400.892;1.417.694;1.478.164;1.496.880
